wall,step,val
1598624269.056544,0,50.0
1598624269.710798,1,30.0
1598624270.348416,2,35.0
1598624271.997111,3,75.71427154541016
1598624272.837424,4,49.999996185302734
1598624273.245663,5,20.0
1598624274.098417,6,33.333335876464844
1598624274.947681,7,49.999996185302734
1598624275.797198,8,43.33333206176758
1598624277.198562,9,65.00001525878906
1598624278.365696,10,67.5
1598624278.597383,11,0.0
1598624279.089306,12,60.0
1598624280.057355,13,63.33332443237305
1598624281.00473,14,56.66666030883789
1598624281.474006,15,10.0
1598624282.172265,16,65.0
1598624283.595817,17,90.0
1598624285.461421,18,95.71430206298828
1598624287.771336,19,95.55563354492188
1598624289.150365,20,72.0
1598624291.534479,21,91.11117553710938
1598624292.440658,22,80.0
1598624292.678848,23,0.0
1598624293.385121,24,80.0
1598624295.529097,25,92.5
1598624295.771667,26,0.0
1598624297.916595,27,93.75
1598624298.633201,28,60.0
1598624300.06614,29,96.0
1598624300.309213,30,0.0
1598624302.403375,31,92.8571548461914
1598624304.243178,32,98.33329772949219
1598624305.867472,33,88.0
1598624307.468848,34,96.0
1598624309.37561,35,93.33330535888672
1598624310.932758,36,96.0
1598624311.735468,37,100.0
1598624312.258,38,90.0
1598624314.037636,39,99.99996185302734
1598624315.890597,40,98.33329772949219
1598624316.412803,41,100.0
1598624319.015534,42,97.77786254882812
1598624319.810186,43,85.0
1598624320.869334,44,93.33334350585938
1598624321.126926,45,0.0
1598624323.515686,46,100.0
1598624324.83594,47,97.5
1598624325.631335,48,95.0
1598624326.394844,49,100.0
1598624328.493779,50,100.0000228881836
1598624331.098234,51,100.00009155273438
1598624331.6517,52,90.0
1598624332.99154,53,97.5
1598624334.338242,54,97.5
1598624337.026022,55,97.77786254882812
1598624338.876474,56,99.99996185302734
1598624339.414042,57,80.0
1598624341.812721,58,96.25
1598624344.14346,59,98.75
1598624344.395587,60,0.0
1598624345.732185,61,100.0
1598624347.318174,62,98.0
1598624348.115298,63,90.0
1598624349.190502,64,93.33334350585938
1598624351.603461,65,100.0
1598624352.119515,66,100.0
1598624353.739624,67,98.0
1598624355.640044,68,99.99996185302734
1598624356.964755,69,95.0
1598624358.047593,70,100.00001525878906
1598624358.297368,71,0.0
1598624360.140383,72,96.66663360595703
1598624361.456613,73,97.5
1598624363.07424,74,96.0
1598624364.950861,75,99.99996185302734
1598624366.562473,76,100.0
1598624367.668527,77,100.00001525878906
