wall,step,val
1598555358.336609,0,74.0
1598555359.817038,1,68.0
1598555361.34201,2,51.1110954284668
1598555362.898528,3,56.25
1598555364.41182,4,0.0
1598555365.934831,5,76.0
1598555367.489843,6,93.33334350585938
1598555369.03602,7,75.0
1598555370.591789,8,64.28568267822266
1598555372.18708,9,53.333316802978516
1598555373.727269,10,51.1110954284668
1598555375.248529,11,100.0
1598555376.739264,12,71.66667175292969
1598555378.244807,13,78.33332824707031
1598555379.744961,14,100.0
1598555381.298777,15,100.0
1598555382.841845,16,95.0
1598555384.352631,17,100.0
1598555385.873523,18,100.0
1598555387.378814,19,84.0
1598555388.914292,20,96.66667938232422
1598555390.418716,21,100.0
1598555391.948187,22,0.0
1598555393.446599,23,88.0
1598555394.976611,24,100.00001525878906
1598555396.516697,25,92.0
1598555397.993431,26,56.25
1598555399.478413,27,79.99999237060547
1598555400.95279,28,65.7142562866211
1598555402.469685,29,65.7142562866211
1598555403.989963,30,53.333316802978516
1598555405.502923,31,0.0
1598555407.056019,32,100.0
1598555408.575215,33,73.33333587646484
1598555410.104867,34,76.66666412353516
1598555411.61258,35,100.00001525878906
1598555413.11301,36,73.33333587646484
1598555414.629947,37,53.333316802978516
1598555416.139345,38,54.444427490234375
1598555417.711815,39,100.0
1598555419.255335,40,100.0
1598555420.794694,41,0.0
1598555422.325675,42,100.0
1598555423.868854,43,64.28568267822266
1598555425.441307,44,57.5
1598555426.998927,45,58.75
1598555428.529629,46,78.33332824707031
1598555430.059499,47,100.0
1598555431.58698,48,100.00001525878906
1598555433.129228,49,76.66666412353516
1598555434.6581,50,76.66666412353516
1598555436.21157,51,64.28568267822266
1598555437.745441,52,67.14282989501953
1598555439.281843,53,100.0
1598555440.805676,54,88.0
1598555442.310633,55,71.42855072021484
1598555443.818301,56,100.0
1598555445.377203,57,90.0
1598555446.942372,58,100.0
1598555448.530349,59,100.0
1598555450.09924,60,100.00001525878906
1598555451.686687,61,88.0
1598555453.24342,62,67.14282989501953
1598555454.769818,63,100.0
1598555456.282414,64,75.0
1598555457.800389,65,100.0
1598555459.313841,66,65.7142562866211
1598555460.812605,67,100.00001525878906
1598555462.383806,68,100.0
1598555463.952294,69,100.0
1598555465.423207,70,55.555538177490234
1598555466.962693,71,100.0
1598555468.534129,72,100.0
1598555470.103331,73,0.0
1598555471.644542,74,79.99999237060547
1598555473.184066,75,100.00001525878906
1598555474.751803,76,54.444427490234375
1598555476.283083,77,100.0
1598555477.825153,78,100.0
1598555479.3251,79,62.857112884521484
1598555480.897303,80,100.0
1598555482.448241,81,100.0
1598555483.957004,82,92.0
1598555485.483235,83,100.0
1598555487.015976,84,100.0
1598555488.565934,85,100.00001525878906
1598555490.095493,86,0.0
1598555491.644157,87,100.0
1598555493.219003,88,100.0
1598555494.771945,89,61.25
1598555496.299592,90,75.0
1598555497.832755,91,54.444427490234375
1598555499.404955,92,100.0
1598555500.903656,93,61.25
1598555502.460605,94,100.0
1598555503.988299,95,60.0
1598555505.518332,96,0.0
1598555507.072152,97,100.0
1598555508.618277,98,75.0
1598555510.140035,99,100.0
1598555511.655998,100,81.66665649414062
1598555513.172995,101,97.5
1598555514.716249,102,0.0
1598555516.234585,103,100.00001525878906
1598555517.740563,104,58.75
1598555519.263675,105,100.0
1598555520.83562,106,97.5
1598555522.388367,107,100.0
1598555523.903034,108,100.0
1598555525.419555,109,100.0
1598555526.939896,110,100.0
1598555528.450242,111,53.333316802978516
1598555530.039879,112,94.0
1598555531.611168,113,76.66666412353516
1598555533.147514,114,100.0
1598555534.715847,115,100.0
1598555536.251973,116,67.14282989501953
1598555537.780946,117,73.33333587646484
1598555539.319091,118,79.99999237060547
1598555540.865638,119,100.0
1598555542.386642,120,54.444427490234375
1598555543.908532,121,100.0
1598555545.51093,122,78.33332824707031
1598555547.038163,123,100.0
1598555548.612348,124,52.222206115722656
1598555550.141159,125,100.0
1598555551.695864,126,100.00001525878906
1598555553.216507,127,100.0
1598555554.819106,128,62.5
1598555556.383007,129,69.9999771118164
1598555557.894171,130,100.0
1598555559.454072,131,0.0
1598555560.995263,132,100.00001525878906
1598555562.526463,133,100.0
1598555564.041856,134,100.0
1598555565.578908,135,0.0
1598555567.09539,136,60.0
1598555568.606986,137,78.33332824707031
1598555570.124687,138,61.25
1598555571.665298,139,55.555538177490234
1598555573.182841,140,75.0
1598555574.728392,141,100.00001525878906
1598555576.266,142,100.00001525878906
1598555577.812016,143,67.14282989501953
1598555579.368514,144,100.00001525878906
1598555580.879756,145,65.7142562866211
1598555582.377966,146,60.0
1598555583.947272,147,68.57140350341797
1598555585.485074,148,100.0
1598555586.940512,149,53.333316802978516
1598555588.503691,150,0.0
1598555590.065704,151,0.0
1598555591.596947,152,76.66666412353516
1598555593.110846,153,100.0
1598555594.631916,154,100.0
1598555596.145404,155,0.0
1598555597.6904,156,79.99999237060547
1598555599.216149,157,60.0
1598555600.760987,158,54.444427490234375
1598555602.309708,159,100.0
1598555603.876383,160,92.0
1598555605.391728,161,88.0
1598555606.963815,162,54.444427490234375
1598555608.492339,163,78.33332824707031
1598555610.037599,164,94.0
