wall,step,val
1598633313.9381,0,38.57142639160156
1598633314.99683,1,51.42855453491211
1598633316.039718,2,55.0
1598633317.050693,3,0.0
1598633318.077497,4,42.5
1598633319.097597,5,41.428565979003906
1598633320.119723,6,0.0
1598633321.159472,7,44.28570556640625
1598633322.212311,8,41.11109924316406
1598633323.289668,9,60.0
1598633324.345212,10,0.0
1598633325.384532,11,0.0
1598633326.486796,12,41.11109924316406
1598633327.548067,13,58.0
1598633328.59935,14,0.0
1598633329.62177,15,41.428565979003906
1598633330.670901,16,41.25
1598633331.674927,17,50.0
1598633332.695053,18,60.0
1598633333.736727,19,42.5
1598633334.758473,20,44.0
1598633335.814731,21,60.0
1598633336.827436,22,50.0
1598633337.900285,23,40.0
1598633338.920853,24,40.0
1598633340.029588,25,50.00000762939453
1598633341.0726,26,48.571414947509766
1598633342.128533,27,48.33333969116211
1598633343.178369,28,36.666664123535156
1598633344.211185,29,66.0
1598633345.244966,30,0.0
1598633346.223728,31,52.0
1598633347.243469,32,46.25
1598633348.255299,33,51.66667556762695
1598633349.315967,34,0.0
1598633350.3357,35,50.0
1598633351.364691,36,37.14285659790039
1598633352.437907,37,47.142845153808594
1598633353.520738,38,50.0
1598633354.568756,39,56.66666030883789
1598633355.640981,40,85.0
1598633356.72662,41,50.0
1598633357.795582,42,42.0
1598633358.898564,43,39.9999885559082
1598633360.023469,44,45.0
1598633361.073015,45,70.0
1598633362.115833,46,46.25
1598633363.178303,47,45.0
1598633364.182321,48,54.0
1598633365.267445,49,45.0
1598633366.325508,50,46.66667175292969
1598633367.371487,51,80.0
1598633368.398839,52,0.0
1598633369.482941,53,80.0
1598633370.563457,54,50.0
1598633371.652461,55,0.0
1598633372.70357,56,62.5
1598633373.752951,57,30.0
1598633374.820872,58,50.0
1598633375.861559,59,0.0
1598633376.952189,60,0.0
1598633377.995366,61,80.0
1598633379.037857,62,0.0
1598633380.078425,63,65.0
1598633381.1482,64,50.0
1598633382.224901,65,45.0
1598633383.270949,66,52.5
1598633384.334279,67,41.11109924316406
1598633385.346868,68,70.0
1598633386.417091,69,42.85713577270508
1598633387.475484,70,50.0
1598633388.582158,71,50.00000762939453
1598633389.637929,72,56.0
1598633390.64488,73,45.71427536010742
