wall,step,val
1598624177.427999,0,0.0
1598624179.606205,1,75.0
1598624181.066297,2,58.0
1598624182.346194,3,35.0
1598624184.07637,4,68.33334350585938
1598624185.424951,5,32.5
1598624185.984844,6,10.0
1598624187.903123,7,55.0000114440918
1598624189.28209,8,40.0
1598624191.4853,9,77.1428451538086
1598624193.975145,10,72.5
1598624195.892159,11,73.33333587646484
1598624197.540087,12,56.0
1598624197.799981,13,0.0
1598624198.313159,14,10.0
1598624199.407679,15,40.0
1598624201.620818,16,72.85712432861328
1598624202.999891,17,52.5
1598624204.364776,18,57.5
1598624206.847211,19,83.75
1598624208.77468,20,71.66667175292969
1598624209.317834,21,40.0
1598624212.000038,22,88.88894653320312
1598624214.724425,23,91.11117553710938
1598624216.888876,24,78.57141876220703
1598624217.727948,25,50.0
1598624219.635503,26,88.33331298828125
1598624222.398556,27,87.77783203125
1598624224.844173,28,88.75
1598624227.582804,29,88.88894653320312
1598624228.978593,30,80.0
1598624230.377556,31,67.5
1598624232.039971,32,84.0
1598624233.142938,33,56.66666030883789
1598624235.863947,34,93.33340454101562
1598624238.37344,35,91.25
1598624240.831659,36,93.75
1598624243.020916,37,81.4285659790039
1598624244.675792,38,82.0
1598624246.061484,39,65.0
1598624247.174017,40,59.99999237060547
1598624249.6166,41,90.0
1598624251.870311,42,88.5714340209961
1598624252.413329,43,20.0
1598624254.941317,44,93.75
1598624257.131652,45,85.71428680419922
1598624259.938219,46,85.55560302734375
1598624261.041127,47,83.33333587646484
1598624262.119528,48,69.99999237060547
1598624262.377563,49,0.0
1598624264.313913,50,86.6666488647461
1598624265.152505,51,80.0
1598624267.909582,52,92.2222900390625
1598624269.043131,53,73.33332824707031
1598624271.22474,54,97.14287567138672
1598624273.176115,55,96.66663360595703
1598624275.961933,56,96.666748046875
1598624276.510498,57,90.0
1598624278.183472,58,90.0
1598624279.037573,59,25.0
1598624279.581036,60,40.0
1598624280.970231,61,77.5
1598624282.371929,62,92.5
1598624283.450884,63,86.66667175292969
1598624285.635822,64,95.71430206298828
1598624285.897889,65,0.0
1598624286.443092,66,90.0
1598624287.549102,67,90.00000762939453
1598624290.323446,68,95.55563354492188
1598624291.709243,69,80.0
1598624293.383056,70,96.0
1598624294.454225,71,90.00000762939453
1598624295.018868,72,50.0
1598624297.729341,73,97.77786254882812
1598624299.106801,74,90.0
1598624301.9446,75,98.88897705078125
1598624304.711269,76,98.88897705078125
1598624306.678718,77,94.99996948242188
1598624307.811042,78,86.66667175292969
1598624309.433874,79,90.0
1598624311.692479,80,95.71430206298828
1598624314.156417,81,95.0
1598624316.68088,82,97.5
1598624318.697282,83,93.33330535888672
1598624321.534286,84,97.77786254882812
1598624322.61247,85,80.0
1598624325.449781,86,94.44451904296875
1598624326.564848,87,83.33333587646484
1598624329.118985,88,100.0
1598624331.324544,89,97.14287567138672
1598624333.259035,90,98.33329772949219
1598624333.823724,91,90.0
1598624336.097709,92,98.57144927978516
1598624337.509465,93,97.5
1598624338.936463,94,95.0
1598624339.760339,95,95.0
1598624341.680289,96,86.6666488647461
1598624343.354627,97,92.0
1598624346.161055,98,98.88897705078125
1598624347.317164,99,80.0
1598624350.143779,100,94.44451904296875
1598624352.950255,101,97.77786254882812
