wall,step,val
1598633309.953082,0,29.99999237060547
1598633310.682106,1,0.0
1598633311.352504,2,27.5
1598633312.049029,3,0.0
1598633312.707169,4,25.55554962158203
1598633313.440882,5,35.0
1598633314.191294,6,26.666667938232422
1598633314.956122,7,20.0
1598633315.719752,8,20.0
1598633316.482951,9,31.111103057861328
1598633317.225495,10,0.0
1598633317.969897,11,42.5
1598633318.735798,12,31.42857551574707
1598633319.488649,13,20.0
1598633320.271363,14,32.0
1598633321.014036,15,22.857145309448242
1598633321.773369,16,20.0
1598633322.544506,17,32.5
1598633323.287303,18,32.22221374511719
1598633324.047012,19,31.25
1598633324.816353,20,27.142860412597656
1598633325.571817,21,40.0
1598633326.330766,22,20.0
1598633327.112346,23,0.0
1598633327.915483,24,32.857147216796875
1598633328.690433,25,27.5
1598633329.443345,26,0.0
1598633330.259981,27,32.5
1598633330.991511,28,32.22221374511719
1598633331.738546,29,28.0
1598633332.49453,30,27.77777099609375
1598633333.274593,31,0.0
1598633334.03367,32,35.0
1598633334.818371,33,23.33333396911621
1598633335.593648,34,0.0
1598633336.401377,35,31.42857551574707
1598633337.168001,36,30.000003814697266
1598633337.91809,37,33.333335876464844
1598633338.667255,38,30.0
1598633339.425898,39,40.0
1598633340.18531,40,20.0
1598633340.936574,41,40.0
1598633341.686134,42,26.666667938232422
1598633342.434229,43,28.57143211364746
1598633343.207925,44,35.0
1598633343.963398,45,29.999996185302734
1598633344.736952,46,31.111103057861328
1598633345.496799,47,35.0
1598633346.279826,48,30.0
1598633347.025137,49,36.66666793823242
1598633347.807241,50,29.99999237060547
1598633348.579976,51,27.77777099609375
1598633349.360541,52,20.0
1598633350.118074,53,32.22221374511719
1598633350.879246,54,0.0
1598633351.666349,55,0.0
1598633352.498027,56,31.25
1598633353.270065,57,32.5
1598633354.012944,58,35.71428680419922
1598633354.787465,59,30.0
1598633355.571073,60,0.0
1598633356.371898,61,50.0
1598633357.148903,62,40.0
1598633357.915569,63,31.111103057861328
1598633358.733704,64,30.000003814697266
1598633359.506713,65,28.57143211364746
1598633360.311427,66,34.28571701049805
1598633361.090754,67,0.0
1598633361.853927,68,38.0
1598633362.646577,69,0.0
1598633363.406122,70,50.0
1598633364.18095,71,0.0
1598633364.975449,72,32.5
1598633365.753225,73,46.666664123535156
1598633366.523057,74,33.33332824707031
1598633367.280983,75,31.111103057861328
1598633368.066407,76,50.0
1598633368.866375,77,0.0
1598633369.627233,78,70.0
